advertiser_id,advertiser_name,category,agency,buy_type
2000,Lakeside Labs,Technology,Cascade Buying,Local
2001,Granite Insurance,Travel & Leisure,Blue Harbor Partners,National
2002,Pioneer Insurance,Insurance,Blue Harbor Partners,Local
2003,Lakeside Airways,Quick Service Restaurant,Northgate Group,Local
2004,Apex Outfitters,Consumer Packaged Goods,Direct / In-House,Regional
2005,Pioneer Labs,Consumer Packaged Goods,Direct / In-House,Local
2006,Apex Financial,Travel & Leisure,Rowan Reach,Local
2007,Northwind Insurance,Telecom,Kingfisher Media,Regional
2008,Apex Energy,Travel & Leisure,Northgate Group,National
2009,Vantage Health,Direct Response,Cascade Buying,Regional
2010,Harbor Brands,Retail,Direct / In-House,National
2011,Harbor Labs,Pharmaceutical,Rowan Reach,National
2012,Silverline Energy,Telecom,Cascade Buying,Local
2013,Lakeside Health,Automotive,Northgate Group,Regional
2014,Clearline Energy,Retail,Kingfisher Media,National
2015,Silverline Energy,Pharmaceutical,Kingfisher Media,National
2016,Apex Motors,Retail,Blue Harbor Partners,Regional
2017,Harbor Outfitters,Retail,Cascade Buying,National
2018,Pioneer Brands,Insurance,Direct / In-House,Regional
2019,Vantage Health,Financial Services,Rowan Reach,Local
2020,Silverline Foods,Technology,Cascade Buying,Local
2021,Clearline Insurance,Financial Services,Direct / In-House,National
2022,Silverline Motors,Retail,Cascade Buying,Local
2023,Granite Financial,Direct Response,Kingfisher Media,National
2024,Lakeside Wireless,Telecom,Direct / In-House,Local
2025,Cardinal Wireless,Retail,Northgate Group,Local
2026,Northwind Foods,Travel & Leisure,Cascade Buying,Regional
2027,Summit Energy,Technology,Blue Harbor Partners,National
2028,Pioneer Wireless,Direct Response,Kingfisher Media,Regional
2029,Apex Brands,Direct Response,Direct / In-House,Regional
2030,Clearline Brands,Retail,Blue Harbor Partners,National
2031,Lakeside Wireless,Quick Service Restaurant,Direct / In-House,Regional
2032,Silverline Financial,Direct Response,Direct / In-House,National
2033,Silverline Motors,Direct Response,Blue Harbor Partners,Regional
2034,Lakeside Outfitters,Automotive,Direct / In-House,National
2035,Harbor Energy,Retail,Cascade Buying,National
2036,Granite Outfitters,Financial Services,Rowan Reach,Regional
2037,Vantage Wireless,Retail,Cascade Buying,Local
2038,Harbor Health,Retail,Cascade Buying,Local
2039,Clearline Labs,Financial Services,Direct / In-House,Regional
